test  [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('858', 758), ('2997', 748)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1196', 781), ('527', 762), ('858', 758), ('1198', 702), ('1617', 695)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1196', 781), ('527', 762), ('858', 758), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748), ('318', 709), ('1198', 702)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2762', 951), ('260', 944), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748), ('318', 709)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('318', 709)]
recom movie [('2858', 1524), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('1196', 781), ('858', 758), ('1198', 702), ('1617', 695), ('608', 685), ('110', 675)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('527', 762), ('858', 758), ('2997', 748), ('318', 709), ('1617', 695), ('608', 685)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709), ('1198', 702)]
recom movie [('2762', 951), ('260', 944), ('2396', 824), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748), ('318', 709), ('1198', 702), ('1617', 695)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('2997', 748), ('1198', 702), ('1617', 695)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('2997', 748), ('1198', 702), ('1617', 695)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('1198', 702)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('260', 944), ('2396', 824), ('1210', 802), ('1196', 781), ('858', 758), ('318', 709), ('1198', 702), ('1617', 695), ('608', 685)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('260', 944), ('2028', 879), ('2396', 824), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709), ('1617', 695)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('1198', 702)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('260', 944), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('2997', 748), ('1198', 702), ('1617', 695)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748), ('318', 709)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('1210', 802), ('1196', 781), ('858', 758), ('2997', 748), ('318', 709), ('1198', 702)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('858', 758), ('318', 709), ('1617', 695)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748), ('318', 709), ('1198', 702)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('318', 709)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2028', 879), ('2396', 824), ('1210', 802), ('858', 758), ('2997', 748), ('318', 709), ('1198', 702), ('1617', 695), ('608', 685)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('858', 758), ('318', 709), ('1198', 702)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('2997', 748), ('1198', 702), ('1617', 695)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758), ('2997', 748)]
recom movie [('2858', 1524), ('2762', 951), ('260', 944), ('2028', 879), ('2396', 824), ('593', 811), ('1210', 802), ('1196', 781), ('527', 762), ('858', 758)]
